| PRUEBA N. | IMG1.JPG     | IMG2.JPG     | IMG3.JPG     | IMG4.JPG     | IMG5.JPG     | IMG6.JPG     | IMG7.JPG     | IMG8.JPG     |
|-----------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
| 1         | 0,0005270000 | 0,0006090000 | 0,0008430000 | 0,0011230000 | 0,0008540000 | 0,0012420000 | 0,0012500000 | 0,0012610000 |
| 2         | 0,0005250000 | 0,0006090000 | 0,0008000000 | 0,0011470000 | 0,0008570000 | 0,0012420000 | 0,0012410000 | 0,0012840000 |
| 3         | 0,0005330000 | 0,0006090000 | 0,0008010000 | 0,0011380000 | 0,0008560000 | 0,0012420000 | 0,0012400000 | 0,0012590000 |
| 4         | 0,0005280000 | 0,0006070000 | 0,0007980000 | 0,0011610000 | 0,0008550000 | 0,0012410000 | 0,0012430000 | 0,0012610000 |
| 5         | 0,0005450000 | 0,0006050000 | 0,0007990000 | 0,0011270000 | 0,0008560000 | 0,0012240000 | 0,0012450000 | 0,0012740000 |
| 6         | 0,0005280000 | 0,0006060000 | 0,0007990000 | 0,0011250000 | 0,0008560000 | 0,0012840000 | 0,0012640000 | 0,0012730000 |
| 7         | 0,0005260000 | 0,0006380000 | 0,0007970000 | 0,0011540000 | 0,0008500000 | 0,0012920000 | 0,0012430000 | 0,0012700000 |
| 8         | 0,0005250000 | 0,0006070000 | 0,0007970000 | 0,0011300000 | 0,0008550000 | 0,0012480000 | 0,0012360000 | 0,0012480000 |
| 9         | 0,0005240000 | 0,0006070000 | 0,0007990000 | 0,0011280000 | 0,0008540000 | 0,0012370000 | 0,0012410000 | 0,0012620000 |
| 10        | 0,0005250000 | 0,0006060000 | 0,0008030000 | 0,0011250000 | 0,0008570000 | 0,0012460000 | 0,0012460000 | 0,0012540000 |
| 11        | 0,0005240000 | 0,0006060000 | 0,0008560000 | 0,0011310000 | 0,0008550000 | 0,0012490000 | 0,0012380000 | 0,0013010000 |
| 12        | 0,0005250000 | 0,0006060000 | 0,0008040000 | 0,0011460000 | 0,0008530000 | 0,0012610000 | 0,0012600000 | 0,0012550000 |
| 13        | 0,0005240000 | 0,0006060000 | 0,0007990000 | 0,0011320000 | 0,0008540000 | 0,0012430000 | 0,0012500000 | 0,0012630000 |
| 14        | 0,0005250000 | 0,0006040000 | 0,0007980000 | 0,0011260000 | 0,0008520000 | 0,0012420000 | 0,0012500000 | 0,0012590000 |
| 15        | 0,0005220000 | 0,0006070000 | 0,0008000000 | 0,0011320000 | 0,0008490000 | 0,0012420000 | 0,0012380000 | 0,0012640000 |
| 16        | 0,0005260000 | 0,0006190000 | 0,0008010000 | 0,0011300000 | 0,0008570000 | 0,0012450000 | 0,0012480000 | 0,0012640000 |
| 17        | 0,0005250000 | 0,0006100000 | 0,0008020000 | 0,0011330000 | 0,0008560000 | 0,0012460000 | 0,0012440000 | 0,0012630000 |
| 18        | 0,0005240000 | 0,0006080000 | 0,0008360000 | 0,0011250000 | 0,0008520000 | 0,0012410000 | 0,0012400000 | 0,0012600000 |
| 19        | 0,0005260000 | 0,0006080000 | 0,0008020000 | 0,0011280000 | 0,0008550000 | 0,0012420000 | 0,0012680000 | 0,0012670000 |
| 20        | 0,0005220000 | 0,0006200000 | 0,0007980000 | 0,0011280000 | 0,0008590000 | 0,0012410000 | 0,0012430000 | 0,0012570000 |
| 21        | 0,0005250000 | 0,0006080000 | 0,0007950000 | 0,0011310000 | 0,0008530000 | 0,0012410000 | 0,0012430000 | 0,0012650000 |
| 22        | 0,0005280000 | 0,0006330000 | 0,0008210000 | 0,0011230000 | 0,0008500000 | 0,0012410000 | 0,0012390000 | 0,0012630000 |
| 23        | 0,0005260000 | 0,0006070000 | 0,0007920000 | 0,0011310000 | 0,0008760000 | 0,0012450000 | 0,0012640000 | 0,0012640000 |
| 24        | 0,0005260000 | 0,0006040000 | 0,0007990000 | 0,0011300000 | 0,0008540000 | 0,0012440000 | 0,0012460000 | 0,0012620000 |
| 25        | 0,0005240000 | 0,0006090000 | 0,0008090000 | 0,0011260000 | 0,0008540000 | 0,0012790000 | 0,0012390000 | 0,0012630000 |
| 26        | 0,0005240000 | 0,0006050000 | 0,0007970000 | 0,0011330000 | 0,0008510000 | 0,0012420000 | 0,0012380000 | 0,0012710000 |
| 27        | 0,0005220000 | 0,0006060000 | 0,0007980000 | 0,0011270000 | 0,0008550000 | 0,0012480000 | 0,0012450000 | 0,0012660000 |
| 28        | 0,0005250000 | 0,0006550000 | 0,0007990000 | 0,0011290000 | 0,0008530000 | 0,0012450000 | 0,0012720000 | 0,0012590000 |
