| PRUEBA N. | IMG1.JPG     | IMG2.JPG     | IMG3.JPG     | IMG4.JPG     | IMG5.JPG     | IMG6.JPG     | IMG7.JPG     | IMG8.JPG     |
|-----------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
| 1         | 0,0005450000 | 0,0006440000 | 0,0008480000 | 0,0011950000 | 0,0009030000 | 0,0013090000 | 0,0013170000 | 0,0013350000 |
| 2         | 0,0005520000 | 0,0006400000 | 0,0008490000 | 0,0012010000 | 0,0009120000 | 0,0013240000 | 0,0013290000 | 0,0013320000 |
| 3         | 0,0005490000 | 0,0006500000 | 0,0008460000 | 0,0012260000 | 0,0009060000 | 0,0013110000 | 0,0013190000 | 0,0013600000 |
| 4         | 0,0005530000 | 0,0006400000 | 0,0008470000 | 0,0011950000 | 0,0009070000 | 0,0013170000 | 0,0013170000 | 0,0013410000 |
| 5         | 0,0005510000 | 0,0006690000 | 0,0008670000 | 0,0011950000 | 0,0009050000 | 0,0013450000 | 0,0013290000 | 0,0013380000 |
| 6         | 0,0005560000 | 0,0006420000 | 0,0008480000 | 0,0011950000 | 0,0009030000 | 0,0013190000 | 0,0013200000 | 0,0013380000 |
| 7         | 0,0005730000 | 0,0006410000 | 0,0008500000 | 0,0011940000 | 0,0009010000 | 0,0013170000 | 0,0013120000 | 0,0013390000 |
| 8         | 0,0005530000 | 0,0006430000 | 0,0008520000 | 0,0011960000 | 0,0009410000 | 0,0013160000 | 0,0013190000 | 0,0013340000 |
| 9         | 0,0005550000 | 0,0006480000 | 0,0008440000 | 0,0011930000 | 0,0009060000 | 0,0013160000 | 0,0013170000 | 0,0013360000 |
| 10        | 0,0005500000 | 0,0006470000 | 0,0008480000 | 0,0011940000 | 0,0009050000 | 0,0013180000 | 0,0013280000 | 0,0013400000 |
| 11        | 0,0005550000 | 0,0006370000 | 0,0008700000 | 0,0011940000 | 0,0009220000 | 0,0013180000 | 0,0013180000 | 0,0013390000 |
| 12        | 0,0005510000 | 0,0006420000 | 0,0008490000 | 0,0011960000 | 0,0009310000 | 0,0013130000 | 0,0013180000 | 0,0013630000 |
| 13        | 0,0005560000 | 0,0006400000 | 0,0009030000 | 0,0011890000 | 0,0009090000 | 0,0013180000 | 0,0013120000 | 0,0013400000 |
