| PRUEBA N. | IMG1.JPG     | IMG2.JPG     | IMG3.JPG     | IMG4.JPG     | IMG5.JPG     | IMG6.JPG     | IMG7.JPG     | IMG8.JPG     |
|-----------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
| 1         | 0,0223610000 | 0,0130660000 | 0,0177200000 | 0,0256650000 | 0,0191320000 | 0,0283310000 | 0,0281970000 | 0,0287470000 |
| 2         | 0,0111100000 | 0,0130340000 | 0,0177330000 | 0,0256250000 | 0,0189710000 | 0,0284380000 | 0,0281850000 | 0,0287680000 |
| 3         | 0,0111610000 | 0,0131230000 | 0,0176790000 | 0,0255960000 | 0,0189770000 | 0,0285020000 | 0,0281340000 | 0,0288060000 |
| 4         | 0,0111140000 | 0,0130920000 | 0,0177260000 | 0,0256260000 | 0,0190010000 | 0,0283740000 | 0,0282600000 | 0,0288350000 |
| 5         | 0,0110440000 | 0,0130760000 | 0,0177780000 | 0,0255980000 | 0,0190460000 | 0,0283440000 | 0,0283320000 | 0,0338090000 |
| 6         | 0,0110720000 | 0,0131300000 | 0,0179110000 | 0,0257190000 | 0,0189810000 | 0,0284140000 | 0,0284100000 | 0,0340300000 |
| 7         | 0,0110160000 | 0,0130590000 | 0,0177370000 | 0,0256000000 | 0,0190960000 | 0,0284570000 | 0,0283210000 | 0,0288190000 |
| 8         | 0,0110820000 | 0,0130460000 | 0,0177310000 | 0,0257130000 | 0,0189890000 | 0,0283400000 | 0,0283280000 | 0,0287270000 |
| 9         | 0,0110680000 | 0,0130900000 | 0,0177620000 | 0,0256570000 | 0,0189880000 | 0,0287310000 | 0,0282130000 | 0,0287990000 |
| 10        | 0,0110780000 | 0,0130190000 | 0,0177040000 | 0,0256190000 | 0,0190380000 | 0,0284960000 | 0,0284000000 | 0,0288060000 |
| 11        | 0,0110310000 | 0,0131880000 | 0,0177870000 | 0,0255900000 | 0,0189540000 | 0,0283800000 | 0,0283520000 | 0,0289620000 |
| 12        | 0,0110430000 | 0,0130650000 | 0,0177090000 | 0,0256230000 | 0,0189840000 | 0,0285500000 | 0,0283010000 | 0,0287710000 |
| 13        | 0,0110720000 | 0,0131270000 | 0,0176880000 | 0,0255970000 | 0,0190210000 | 0,0283710000 | 0,0282740000 | 0,0287730000 |
| 14        | 0,0111010000 | 0,0130370000 | 0,0176930000 | 0,0256920000 | 0,0192900000 | 0,0284390000 | 0,0282240000 | 0,0289860000 |
| 15        | 0,0110750000 | 0,0131830000 | 0,0177190000 | 0,0256420000 | 0,0189720000 | 0,0283760000 | 0,0284320000 | 0,0287570000 |
| 16        | 0,0110970000 | 0,0131350000 | 0,0176890000 | 0,0255960000 | 0,0190050000 | 0,0284560000 | 0,0282220000 | 0,0288780000 |
| 17        | 0,0110560000 | 0,0134910000 | 0,0177050000 | 0,0255490000 | 0,0189790000 | 0,0284210000 | 0,0281740000 | 0,0287310000 |
| 18        | 0,0111920000 | 0,0131070000 | 0,0177450000 | 0,0256630000 | 0,0189920000 | 0,0284310000 | 0,0283170000 | 0,0288010000 |
| 19        | 0,0110860000 | 0,0130370000 | 0,0177700000 | 0,0256880000 | 0,0190380000 | 0,0283560000 | 0,0282720000 | 0,0288750000 |
| 20        | 0,0111380000 | 0,0131020000 | 0,0177360000 | 0,0255960000 | 0,0189860000 | 0,0284780000 | 0,0281560000 | 0,0287820000 |
| 21        | 0,0110830000 | 0,0131290000 | 0,0177010000 | 0,0255770000 | 0,0190060000 | 0,0284300000 | 0,0282620000 | 0,0288100000 |
| 22        | 0,0110800000 | 0,0131270000 | 0,0176670000 | 0,0256370000 | 0,0190850000 | 0,0284540000 | 0,0281970000 | 0,0287700000 |
| 23        | 0,0110710000 | 0,0130480000 | 0,0176760000 | 0,0256450000 | 0,0189920000 | 0,0283630000 | 0,0281600000 | 0,0288640000 |
| 24        | 0,0111320000 | 0,0130540000 | 0,0178080000 | 0,0256460000 | 0,0190210000 | 0,0283770000 | 0,0282210000 | 0,0287290000 |
| 25        | 0,0110510000 | 0,0131040000 | 0,0176640000 | 0,0256590000 | 0,0190280000 | 0,0284590000 | 0,0282910000 | 0,0287680000 |
| 26        | 0,0111800000 | 0,0131110000 | 0,0177330000 | 0,0256700000 | 0,0190150000 | 0,0283850000 | 0,0281910000 | 0,0287820000 |
| 27        | 0,0111120000 | 0,0130790000 | 0,0177210000 | 0,0256920000 | 0,0189690000 | 0,0284160000 | 0,0283540000 | 0,0288360000 |
| 28        | 0,0111060000 | 0,0131780000 | 0,0176840000 | 0,0255990000 | 0,0189830000 | 0,0284330000 | 0,0282020000 | 0,0288950000 |
| 29        | 0,0111380000 | 0,0130890000 | 0,0177010000 | 0,0256390000 | 0,0189840000 | 0,0284030000 | 0,0282070000 | 0,0287840000 |
| 30        | 0,0110570000 | 0,0130740000 | 0,0177290000 | 0,0256390000 | 0,0223290000 | 0,0284140000 | 0,0282320000 | 0,0289100000 |
| 31        | 0,0111060000 | 0,0131630000 | 0,0177890000 | 0,0257050000 | 0,0190070000 | 0,0283760000 | 0,0282330000 | 0,0288590000 |
| 32        | 0,0110710000 | 0,0131060000 | 0,0178560000 | 0,0256890000 | 0,0193290000 | 0,0284610000 | 0,0334180000 | 0,0287720000 |
| 33        | 0,0110570000 | 0,0131370000 | 0,0177010000 | 0,0255910000 | 0,0191480000 | 0,0283410000 | 0,0283070000 | 0,0287520000 |
| 34        | 0,0111380000 | 0,0130180000 | 0,0176770000 | 0,0256020000 | 0,0191010000 | 0,0285810000 | 0,0282990000 | 0,0288580000 |
| 35        | 0,0110340000 | 0,0130340000 | 0,0176930000 | 0,0256130000 | 0,0190040000 | 0,0284050000 | 0,0283340000 | 0,0288130000 |
| 36        | 0,0110860000 | 0,0130940000 | 0,0177050000 | 0,0267410000 | 0,0191610000 | 0,0284830000 | 0,0283120000 | 0,0288080000 |
| 37        | 0,0111070000 | 0,0130390000 | 0,0176910000 | 0,0267590000 | 0,0190080000 | 0,0284880000 | 0,0282450000 | 0,0288280000 |
| 38        | 0,0110370000 | 0,0130570000 | 0,0176740000 | 0,0257150000 | 0,0191340000 | 0,0284390000 | 0,0283400000 | 0,0287720000 |
| 39        | 0,0111000000 | 0,0130690000 | 0,0177680000 | 0,0256860000 | 0,0190470000 | 0,0283690000 | 0,0282140000 | 0,0287880000 |
| 40        | 0,0110570000 | 0,0130730000 | 0,0177590000 | 0,0256250000 | 0,0190680000 | 0,0283790000 | 0,0282580000 | 0,0289460000 |
| 41        | 0,0110690000 | 0,0131670000 | 0,0177420000 | 0,0256860000 | 0,0189970000 | 0,0285630000 | 0,0282590000 | 0,0289060000 |
| 42        | 0,0110850000 | 0,0130540000 | 0,0177150000 | 0,0255290000 | 0,0189910000 | 0,0284140000 | 0,0282090000 | 0,0288560000 |
| 43        | 0,0110680000 | 0,0131620000 | 0,0177060000 | 0,0255670000 | 0,0189880000 | 0,0284180000 | 0,0284770000 | 0,0301010000 |
| 44        | 0,0111230000 | 0,0131040000 | 0,0176820000 | 0,0256670000 | 0,0190350000 | 0,0283510000 | 0,0283340000 | 0,0287960000 |
| 45        | 0,0110650000 | 0,0130690000 | 0,0177180000 | 0,0255990000 | 0,0190970000 | 0,0284220000 | 0,0282400000 | 0,0287530000 |
| 46        | 0,0111390000 | 0,0130750000 | 0,0176700000 | 0,0255240000 | 0,0189110000 | 0,0283960000 | 0,0283780000 | 0,0287670000 |
| 47        | 0,0110740000 | 0,0130100000 | 0,0176440000 | 0,0256460000 | 0,0189640000 | 0,0283860000 | 0,0282700000 | 0,0288560000 |
| 48        | 0,0110620000 | 0,0130750000 | 0,0178150000 | 0,0256010000 | 0,0190040000 | 0,0284280000 | 0,0282770000 | 0,0287420000 |
| 49        | 0,0110530000 | 0,0131250000 | 0,0177810000 | 0,0256110000 | 0,0189940000 | 0,0284490000 | 0,0283930000 | 0,0288800000 |
| 50        | 0,0110960000 | 0,0130860000 | 0,0177740000 | 0,0256640000 | 0,0190360000 | 0,0283990000 | 0,0283430000 | 0,0287780000 |
| 51        | 0,0110750000 | 0,0130900000 | 0,0177310000 | 0,0256550000 | 0,0190680000 | 0,0283560000 | 0,0282790000 | 0,0287240000 |
| 52        | 0,0110400000 | 0,0131300000 | 0,0177250000 | 0,0256610000 | 0,0189780000 | 0,0283880000 | 0,0282090000 | 0,0288030000 |
| 53        | 0,0111270000 | 0,0131510000 | 0,0177750000 | 0,0256350000 | 0,0190140000 | 0,0284360000 | 0,0282270000 | 0,0288950000 |
| 54        | 0,0110970000 | 0,0131190000 | 0,0178100000 | 0,0256500000 | 0,0189770000 | 0,0285420000 | 0,0282180000 | 0,0288510000 |
| 55        | 0,0110690000 | 0,0135230000 | 0,0177220000 | 0,0256050000 | 0,0189870000 | 0,0283470000 | 0,0282570000 | 0,0288430000 |
| 56        | 0,0110700000 | 0,0130630000 | 0,0176910000 | 0,0255790000 | 0,0189650000 | 0,0284990000 | 0,0282250000 | 0,0287950000 |
| 57        | 0,0131360000 | 0,0130780000 | 0,0177400000 | 0,0256360000 | 0,0190940000 | 0,0283610000 | 0,0282750000 | 0,0290190000 |
| 58        | 0,0110620000 | 0,0131000000 | 0,0176680000 | 0,0255770000 | 0,0189990000 | 0,0283880000 | 0,0283090000 | 0,0287850000 |
| 59        | 0,0110920000 | 0,0130820000 | 0,0177720000 | 0,0256120000 | 0,0190870000 | 0,0283350000 | 0,0282250000 | 0,0287990000 |
| 60        | 0,0110870000 | 0,0130550000 | 0,0177230000 | 0,0255630000 | 0,0189760000 | 0,0283140000 | 0,0282170000 | 0,0288050000 |
| 61        | 0,0111040000 | 0,0131360000 | 0,0176950000 | 0,0256140000 | 0,0190070000 | 0,0284550000 | 0,0282030000 | 0,0289080000 |
